ulke_adi,il_adi,il_kodu,ilce_adi,ilce_kodu,okul_adi,okul_website,tip
Türkiye,Adana,1,Ceyhan,4,Ceyhan Anadolu Lisesi,http://ceyhananadolulisesi.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Toros Tarım İlkokulu,http://torostarimilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Büyükmangıt Anaokulu,http://759548.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Ceyhan,4,Ertan Sevim Ortaokulu,http://ertansevimortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,75.yıl Cumhuriyet Anaokulu,http://ceyhan75yilcao.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Ceyhan,4,Doruk Mesleki Ve Teknik Anadolu Lisesi,http://dorukmesleklisesi.meb.k12.tr,Meslek Lisesi
Türkiye,Adana,1,Ceyhan,4,Kösreli İlkokulu,http://kosreliilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Cumhuriyet İlkokulu,http://ceyhancumhuriyetilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Kösreli Ortaokulu,http://kosreliortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Mehmet Akif Ersoy İlkokulu,http://ceyhanmehmetakif.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Necati Akçağlılar İlkokulu,http://necatiakcaglilar.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Tekfen Vakfı Özel Eğitim Uygulama Merkezi I. Kademe,http://tekfenvakfioeum.meb.k12.tr,Meslek Lisesi
Türkiye,Adana,1,Ceyhan,4,İsmail-ayşe Önük Ortaokulu,http://ismailayseonuk.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Körkuyu İlkokulu,http://korkuyu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Ülkü Halim Gökçedağ İlkokulu,http://ulkuhalimgokcedagilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Şehit Adnan Sürücü Ortaokulu,http://752909.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Mercimek Tevhide Atçı Ortaokulu,http://mercimektevhideatcioo.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Kasım Garipoğlu Mesleki Ve Teknik Anadolu Lisesi,http://kasimgaripoglukizteknikvemeslek.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Mercimek Tevhide Atçı İlkokulu,http://tevhideatci.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Kurtkulağı Orhan Ekinci Ortaokulu,http://kurtkulagiorhanekincio.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Sağkaya İlkokulu,http://731733.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,İmkb Ceyhan Anadolu Lisesi,http://imkbceyhananadolulisesi.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Gümürdülü İlkokulu,http://gumurduluilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Sarısakal Ortaokulu,http://sarisakalortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Gümürdülü Ortaokulu,http://gumurduluortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Kurtkulağı Orhan Ekinci İlkokulu,http://kurtkulagiorhanekincii.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Mithatpaşa İlkokulu,http://ceyhanmithatpasailkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Mustafabeyli Ortaokulu,http://mustafabeyliortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,İhsan Demirtaş Ortaokulu,http://ihsandemirtasortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Hamdilli Ortaokulu,http://hamdilliortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Şehit Fehmi Koç İlkokulu,http://731772.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,100. Yıl Sarısakal İlkokulu,http://100yilsarisakalio.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Namık Kemal İlkokulu,http://ceyhannamikkemalilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Yeşildam Ortaokulu,http://yesildamortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Şadiye Mustafa Caf Ortaokulu,http://sadiyemustafacafortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Heydar Aliyev Mesleki Ve Teknik Anadolu Lisesi,http://heydaraliyevmtal.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Botaş Ortaokulu,http://botas.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Mehmet Orhun Yaylacı Anadolu Lisesi,http://moyal.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Ali Fevziye Özçelik İlkokulu,http://alifevziye.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Büyük Mangıt Ortaokulu,http://buyukmangitortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Dumlupınar İlkokulu,http://ceyhandumlupinarilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,İlbeyli Beyteks Mesleki  Ve Teknik Anadolu  Lisesi,http://ilbeylibeytekseml.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Botaş İlkokulu,http://botasioo.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Sakine Garipoğlu İlkokulu,http://sakinegaripogluio.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Fatih Sultan Mehmet İlkokulu,http://ceyhanfsmio.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Birkent İlkokulu,http://birkentilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Ceyhan İlkokulu,http://ceyhanilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Cennet Çetin Anaokulu,http://cennetcetinanaokulu.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Ceyhan,4,Sağkaya Çok Programlı Anadolu Lisesi,http://sagkayacpanadolulisesi.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Mustafabeyli İlkokulu,http://mustafabeyliilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Toros Tarım Ortaokulu,http://torostarimortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Kuzucak İlkokulu,http://kuzucakilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Doruk Merkez Ortaokulu,http://dorukmerkezortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Kadir Sevil Aydar Anaokulu,http://kadirsevilaydaranaokulu.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Ceyhan,4,Ceyhan İmam Hatip Ortaokulu,http://ceyhanimamhatiportaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Cengiz Topel İlkokulu,http://ceyhancengiztopelilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Şerife Topal Anaokulu,http://serifetopalanaokulu.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Ceyhan,4,Yaltır Kardeşler Ortaokulu,http://ceyhanyaltirkardeslerortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,23 Nisan İlkokulu,http://731715.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Gazi Ortaokulu,http://ceyhangaziortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Beşocak İlkokulu,http://ceyhanbesocakilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Remzi Oğuz Arık İlkokulu,http://ceyhanremzioguzilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Sakarya Ortaokulu,http://ceyhansakaryaortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Pamukeli Ortaokulu,http://pamukeliortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Fevzi Çakmak Ortaokulu,http://ceyhanfevzicakmak.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Sakarya İlkokulu,http://ceyhansakaryailkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Çataklı Tatarlı Bakırlı Ortaokulu,http://catakltatarlbakrlilkretimokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Mürüvvet Mahmut Kayhan Anaokulu,http://muruvvetmahmutkayhananaokulu.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Ceyhan,4,Ceyhan Polis Amca Anaokulu,http://ceyhanpolisamcaanaokulu.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Ceyhan,4,Mercimek Anaokulu,http://mercimekanaokulu.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Ceyhan,4,Başören İlkokulu,http://basorenilkokul.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Başören Ortaokulu,http://basoreno.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Ceyhan Öğretmenevi Ve Akşam Sanat Okulu,http://ceyhanogretmenevi.meb.k12.tr,Sanat Okulu
Türkiye,Adana,1,Ceyhan,4,Ceyhan  Ortaokulu,http://ceyhanortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Güler Aral  Anaokulu,http://guleraral.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Ceyhan,4,Kıvrıklı İlkokulu,http://kivrikliilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Hafsa Sultan Anaokulu,http://ceyhanhafsasultananaokulu.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Ceyhan,4,Toktamış İlkokulu,http://toktamisilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Birkent Ortaokulu,http://birkentortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Şehit Zeynep Sağır Anadolu Lisesi,http://szeynepsagiral.meb.k12.tr,Meslek Lisesi
Türkiye,Adana,1,Ceyhan,4,Ceyhan Kız Anadolu İmam Hatip Lisesi,http://ceyhankizihl.meb.k12.tr,Meslek Lisesi
Türkiye,Adana,1,Çukurova,19,Abbas-sıdıka Çalık Anadolu Lisesi,http://ascalikanadolulisesi.meb.k12.tr,Lise
Türkiye,Adana,1,Çukurova,19,Abdullah Cem Turhan Anaokulu,http://abdullahcemturhananaokulu.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Çukurova,19,Adana Anadolu Lisesi,http://adanaanadolulisesi.meb.k12.tr,Lise
Türkiye,Adana,1,Çukurova,19,Akşemsettin Ortaokulu,http://cukurovaaksemsettin.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Çukurova,19,Buhara Ortaokulu,http://buhara.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Çukurova,19,Çeas Anadolu Lisesi,http://adanaceasanadolulisesi.meb.k12.tr,Lise
Türkiye,Adana,1,Çukurova,19,Hacı Ahmet Atıl Anadolu Lisesi,http://adanahaal.meb.k12.tr,Lise
Türkiye,Adana,1,Çukurova,19,Çukurova Halk Eğitimi Merkezi,http://cukurovahem.meb.k12.tr,Halk Eğitim Merkezi
Türkiye,Adana,1,Çukurova,19,Dsi Baraj Ortaokulu,http://dsibarajortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Çukurova,19,Gülpembe Anaokulu,http://gulpembe.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Çukurova,19,Hasan Adalı Anadolu Lisesi,http://hasanadalilisesi.meb.k12.tr,Lise
Türkiye,Adana,1,Çukurova,19,Hoca Ahmet Yesevi İlkokulu,http://hocaahmetyeseviilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Çukurova,19,Huzur Anaokulu,http://huzuranaokulu.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Çukurova,19,İbn-i Sina Ortaokulu,http://ibnisinaaoo.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Çukurova,19,İsmail Kulak Anadolu Lisesi,http://ismailkulakal.meb.k12.tr,Lise
Türkiye,Adana,1,Çukurova,19,İsmail Safa Özler Anadolu Lisesi,http://iso.meb.k12.tr,Lise
Türkiye,Adana,1,Çukurova,19,Kabasakal İlkokulu,http://kabasakalio.meb.k12.tr,İlkokul
Türkiye,Adana,1,Çukurova,19,Karslılar İlkokulu,http://karslilarilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Çukurova,19,Yaşar Rukiye Kısacık Anadolu İmam Hatip Lisesi,http://yasarrukiyekisacikaihl.meb.k12.tr,Lise
Türkiye,Adana,1,Çukurova,19,Kurttepe Mesleki Ve Teknik Anadolu Lisesi,http://kurttepeeml.meb.k12.tr,Lise
Türkiye,Adana,1,Çukurova,19,Lütfiye Bağcivan Anaokulu,http://lutfiyebagcivan.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Çukurova,19,Mehmet Özöncel Anadolu Lisesi,http://mehmetozoncelal.meb.k12.tr,Lise
Türkiye,Adana,1,Çukurova,19,Meryem-mehmet Kayhan Ortaokulu,http://memko.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Çukurova,19,Mesleki Eğitim Merkezi,http://cukurovamem.meb.k12.tr,Meslek Lisesi
Türkiye,Adana,1,Çukurova,19,Nigahi Soykan İlkokulu,http://nigahisoykan.meb.k12.tr,İlkokul
Türkiye,Adana,1,Çukurova,19,Niyazi Ekerbiçer Özel Eğitim İlkokulu,http://niyaziebicerozelgitimilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Çukurova,19,Niyazi Ekerbiçer Özel Eğitim Mesleki Eğitim Merkezi (okulu),http://niyaziekerbicer.meb.k12.tr,Meslek Lisesi
Türkiye,Adana,1,Çukurova,19,Niyazi Ekerbiçer Özel Eğitim Ortaokulu,http://niyaziekerbicerozegitortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Çukurova,19,Nurten Yetimoğlu Mesleki Ve Teknik Anadolu Lisesi,http://nurtenyetimoglu.meb.k12.tr,Lise
Türkiye,Adana,1,Çukurova,19,Oğuz Kağan Köksal Görme Engelliler Ortaokulu,http://okkgormeengellilerortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Çukurova,19,Piri Reis Anadolu Lisesi,http://pirireisanadolulisesi.meb.k12.tr,Lise
Türkiye,Adana,1,Çukurova,19,Recep Birsin Özen Ortaokulu,http://recepbirsinozen.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Çukurova,19,Sabancı İlkokulu,http://cukurovasabanci.meb.k12.tr,İlkokul
Türkiye,Adana,1,Çukurova,19,Salbaş İlkokulu,http://salbasilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Çukurova,19,Salbaş Anadolu Lisesi,http://sal.meb.k12.tr,Lise
Türkiye,Adana,1,Çukurova,19,Salbaş Ortaokulu,http://salbasortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Çukurova,19,Çukurova Anaokulu,http://cukurovaanaokulu.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Çukurova,19,15 Temmuz Şehitleri Anadolu Lisesi,http://cukurovaanadolulisesi.meb.k12.tr,Lise
Türkiye,Adana,1,Çukurova,19,Sıtkı Kulak Ortaokulu,http://sitkikulak.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Çukurova,19,Sungurbey Anadolu Lisesi,http://sungurbeyanadolulisesi.meb.k12.tr,Lise
Türkiye,Adana,1,Çukurova,19,Şambayadı İlkokulu,http://sambayadiilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Çukurova,19,Şehit Temel Cingöz Anadolu Lisesi,http://sehittemelcingozandl.meb.k12.tr,Lise
Türkiye,Adana,1,Çukurova,19,Şoför Ve Otomobilciler Odası Anaokulu,http://sofveotoanaokulu.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Çukurova,19,Toros Anaokulu,http://torosanaokulu.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Çukurova,19,Vehbi Güzel Mesleki Ve Teknik Anadolu Lisesi,http://vehbiguzelktml.meb.k12.tr,Lise
Türkiye,Adana,1,Çukurova,19,Yunus Emre İlkokulu,http://cukurovayunusemre.meb.k12.tr,İlkokul
Türkiye,Adana,1,Çukurova,19,Bilim Ve Sanat Merkezi,http://adanabilsem.meb.k12.tr,Sanat Okulu
